abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"RIOMILCO","=""04/15/1985 00:00""","157","cfs","","","=""04/15/1985 17:00""",
"RIOMILCO","=""04/16/1985 00:00""","158","cfs","","","=""04/16/1985 17:00""",
"RIOMILCO","=""04/17/1985 00:00""","159","cfs","","","=""04/17/1985 17:00""",
"RIOMILCO","=""04/18/1985 00:00""","160","cfs","","","=""04/18/1985 13:00""",
"RIOMILCO","=""04/19/1985 00:00""","","cfs","","","",
"RIOMILCO","=""04/20/1985 00:00""","","cfs","","","",
"RIOMILCO","=""04/21/1985 00:00""","","cfs","","","",
"RIOMILCO","=""04/22/1985 00:00""","","cfs","","","",
"RIOMILCO","=""04/23/1985 00:00""","16.7","cfs","","","=""04/23/1985 17:00""",
"RIOMILCO","=""04/24/1985 00:00""","16.7","cfs","","","=""04/24/1985 13:00""",
"RIOMILCO","=""04/25/1985 00:00""","16.4","cfs","","*","=""04/25/1985 16:30""",
"RIOMILCO","=""04/26/1985 00:00""","15.4","cfs","","","=""04/26/1985 17:00""",
"RIOMILCO","=""04/27/1985 00:00""","15.4","cfs","","","=""04/27/1985 23:45""",
"RIOMILCO","=""04/28/1985 00:00""","15.4","cfs","","","=""04/28/1985 21:00""",
"RIOMILCO","=""04/29/1985 00:00""","15.9","cfs","","","=""04/29/1985 23:45""",
"RIOMILCO","=""04/30/1985 00:00""","16.2","cfs","","","=""04/30/1985 23:45""",
"RIOMILCO","=""05/01/1985 00:00""","148","cfs","","","=""05/01/1985 23:45""",
"RIOMILCO","=""05/02/1985 00:00""","223","cfs","","","=""05/02/1985 23:45""",
"RIOMILCO","=""05/03/1985 00:00""","225","cfs","","","=""05/03/1985 23:45""",
"RIOMILCO","=""05/04/1985 00:00""","271","cfs","","","=""05/04/1985 23:45""",
"RIOMILCO","=""05/05/1985 00:00""","366","cfs","","","=""05/05/1985 23:45""",
"RIOMILCO","=""05/06/1985 00:00""","406","cfs","","","=""05/06/1985 23:45""",
"RIOMILCO","=""05/07/1985 00:00""","410","cfs","","","=""05/07/1985 23:45""",
"RIOMILCO","=""05/08/1985 00:00""","580","cfs","","","=""05/08/1985 23:45""",
"RIOMILCO","=""05/09/1985 00:00""","862","cfs","","","=""05/09/1985 23:45""",
"RIOMILCO","=""05/10/1985 00:00""","1110","cfs","","","=""05/10/1985 23:45""",
"RIOMILCO","=""05/11/1985 00:00""","1120","cfs","","","=""05/11/1985 23:45""",
"RIOMILCO","=""05/12/1985 00:00""","843","cfs","","","=""05/12/1985 23:45""",
"RIOMILCO","=""05/13/1985 00:00""","551","cfs","","","=""05/13/1985 23:45""",
"RIOMILCO","=""05/14/1985 00:00""","322","cfs","","","=""05/14/1985 23:45""",
"RIOMILCO","=""05/15/1985 00:00""","95.5","cfs","","","=""05/15/1985 23:45""",
"RIOMILCO","=""05/16/1985 00:00""","138","cfs","","","=""05/16/1985 23:45""",
"RIOMILCO","=""05/17/1985 00:00""","375","cfs","","","=""05/17/1985 23:45""",
"RIOMILCO","=""05/18/1985 00:00""","462","cfs","","","=""05/18/1985 23:45""",
"RIOMILCO","=""05/19/1985 00:00""","473","cfs","","","=""05/19/1985 10:00""",
