#Bulk Export - Points as recorded,
,08375300-USGS
,"Rio Grande at Rio Grande Village, Big Bend National Park, Texas"
,Discharge.USGS-NWIS-Daily
Timestamp (UTC-06:00),Value (ft^3/s)
2007-08-03 00:00:00,4840.00
2007-08-04 00:00:00,6570.00
2007-08-05 00:00:00,5100.00
2007-08-06 00:00:00,2160.00
2007-08-07 00:00:00,1720.00
2007-08-08 00:00:00,1960.00
2007-08-09 00:00:00,1280.00
2007-08-10 00:00:00,1160.00
2007-08-11 00:00:00,1090.00
2007-08-12 00:00:00,1010.00
2007-08-13 00:00:00,971.00
2007-08-14 00:00:00,941.00
2007-08-15 00:00:00,917.00
2007-08-16 00:00:00,869.00
2007-08-17 00:00:00,842.00
2007-08-18 00:00:00,811.00
2007-08-19 00:00:00,770.00
2007-08-20 00:00:00,730.00
2007-08-21 00:00:00,698.00
2007-08-22 00:00:00,751.00
2007-08-23 00:00:00,624.00
2007-08-24 00:00:00,517.00
2007-08-25 00:00:00,490.00
2007-08-26 00:00:00,543.00
2007-08-27 00:00:00,406.00
2007-08-28 00:00:00,368.00
2007-08-29 00:00:00,311.00
2007-08-30 00:00:00,277.00
2007-08-31 00:00:00,281.00
2007-09-01 00:00:00,287.00
2007-09-02 00:00:00,309.00
2007-09-03 00:00:00,339.00
2007-09-04 00:00:00,341.00
2007-09-05 00:00:00,303.00
2007-09-06 00:00:00,343.00
2007-09-07 00:00:00,372.00
2007-09-08 00:00:00,299.00
2007-09-09 00:00:00,297.00
2007-09-10 00:00:00,381.00
2007-09-11 00:00:00,311.00
2007-09-12 00:00:00,846.00
2007-09-13 00:00:00,1480.00
2007-09-14 00:00:00,1090.00
2007-09-15 00:00:00,930.00
2007-09-16 00:00:00,789.00
2007-09-17 00:00:00,755.00
2007-09-18 00:00:00,1380.00
2007-09-19 00:00:00,1470.00
2007-09-20 00:00:00,1040.00
2007-09-21 00:00:00,891.00
2007-09-22 00:00:00,1040.00
2007-09-23 00:00:00,1040.00
2007-09-24 00:00:00,1100.00
2007-09-25 00:00:00,1390.00
2007-09-26 00:00:00,1150.00
2007-09-27 00:00:00,1030.00
2007-09-28 00:00:00,1070.00
2007-09-29 00:00:00,1020.00
2007-09-30 00:00:00,1040.00
2007-10-01 00:00:00,1100.00
2007-10-02 00:00:00,1210.00
2007-10-03 00:00:00,1350.00
2007-10-04 00:00:00,1120.00
2007-10-05 00:00:00,976.00
2007-10-06 00:00:00,1010.00
2007-10-07 00:00:00,977.00
2007-10-08 00:00:00,901.00
2007-10-09 00:00:00,853.00
2007-10-10 00:00:00,710.00
2007-10-11 00:00:00,693.00
2007-10-12 00:00:00,725.00
2007-10-13 00:00:00,615.00
2007-10-14 00:00:00,546.00
2007-10-15 00:00:00,443.00
2007-10-16 00:00:00,415.00
2007-10-17 00:00:00,374.00
2007-10-18 00:00:00,357.00
2007-10-19 00:00:00,298.00
2007-10-20 00:00:00,292.00
2007-10-21 00:00:00,282.00
2007-10-22 00:00:00,263.00
2007-10-23 00:00:00,266.00
2007-10-24 00:00:00,258.00
2007-10-25 00:00:00,232.00
2007-10-26 00:00:00,257.00
2007-10-27 00:00:00,265.00
2007-10-28 00:00:00,307.00
2007-10-29 00:00:00,281.00
2007-10-30 00:00:00,307.00
2007-10-31 00:00:00,307.00
2007-11-01 00:00:00,276.00
2007-11-02 00:00:00,273.00
2007-11-03 00:00:00,273.00
2007-11-04 00:00:00,262.00
2007-11-05 00:00:00,264.00
2007-11-06 00:00:00,262.00
2007-11-07 00:00:00,273.00
2007-11-08 00:00:00,269.00
2007-11-09 00:00:00,263.00
2007-11-10 00:00:00,268.00
2007-11-11 00:00:00,261.00
2007-11-12 00:00:00,255.00
2007-11-13 00:00:00,250.00
2007-11-14 00:00:00,237.00
2007-11-15 00:00:00,233.00
2007-11-16 00:00:00,223.00
2007-11-17 00:00:00,217.00
2007-11-18 00:00:00,226.00
2007-11-19 00:00:00,217.00
2007-11-20 00:00:00,220.00
2007-11-21 00:00:00,219.00
2007-11-22 00:00:00,208.00
2007-11-23 00:00:00,211.00
2007-11-24 00:00:00,214.00
2007-11-25 00:00:00,233.00
2007-11-26 00:00:00,246.00
2007-11-27 00:00:00,253.00
2007-11-28 00:00:00,258.00
2007-11-29 00:00:00,278.00
2007-11-30 00:00:00,278.00
2007-12-01 00:00:00,282.00
2007-12-02 00:00:00,276.00
2007-12-03 00:00:00,271.00
2007-12-04 00:00:00,263.00
2007-12-05 00:00:00,269.00
2007-12-06 00:00:00,264.00
2007-12-07 00:00:00,270.00
2007-12-08 00:00:00,269.00
2007-12-09 00:00:00,264.00
2007-12-10 00:00:00,266.00
2007-12-11 00:00:00,261.00
2007-12-12 00:00:00,272.00
2007-12-13 00:00:00,275.00
2007-12-14 00:00:00,270.00
2007-12-15 00:00:00,260.00
2007-12-16 00:00:00,244.00
2007-12-17 00:00:00,244.00
2007-12-18 00:00:00,250.00
2007-12-19 00:00:00,253.00
2007-12-20 00:00:00,250.00
2007-12-21 00:00:00,246.00
2007-12-22 00:00:00,246.00
2007-12-23 00:00:00,248.00
2007-12-24 00:00:00,263.00
2007-12-25 00:00:00,247.00
2007-12-26 00:00:00,248.00
2007-12-27 00:00:00,258.00
2007-12-28 00:00:00,256.00
2007-12-29 00:00:00,258.00
2007-12-30 00:00:00,261.00
2007-12-31 00:00:00,253.00
2008-01-01 00:00:00,246.00
2008-01-02 00:00:00,235.00
2008-01-03 00:00:00,233.00
2008-01-04 00:00:00,240.00
2008-01-05 00:00:00,244.00
2008-01-06 00:00:00,248.00
2008-01-07 00:00:00,241.00
2008-01-08 00:00:00,238.00
2008-01-09 00:00:00,238.00
2008-01-10 00:00:00,243.00
2008-01-11 00:00:00,242.00
2008-01-12 00:00:00,245.00
2008-01-13 00:00:00,240.00
2008-01-14 00:00:00,237.00
2008-01-15 00:00:00,238.00
2008-01-16 00:00:00,241.00
2008-01-17 00:00:00,241.00
2008-01-18 00:00:00,236.00
2008-01-19 00:00:00,234.00
2008-01-20 00:00:00,234.00
2008-01-21 00:00:00,231.00
2008-01-22 00:00:00,231.00
2008-01-23 00:00:00,230.00
2008-01-24 00:00:00,225.00
2008-01-25 00:00:00,213.00
2008-01-26 00:00:00,214.00
2008-01-27 00:00:00,228.00
2008-01-28 00:00:00,238.00
2008-01-29 00:00:00,253.00
2008-01-30 00:00:00,252.00
2008-01-31 00:00:00,236.00
2008-02-01 00:00:00,237.00
2008-02-02 00:00:00,236.00
2008-02-03 00:00:00,230.00
2008-02-04 00:00:00,223.00
2008-02-05 00:00:00,216.00
2008-02-06 00:00:00,202.00
2008-02-07 00:00:00,189.00
2008-02-08 00:00:00,201.00
2008-02-09 00:00:00,199.00
2008-02-10 00:00:00,181.00
2008-02-11 00:00:00,175.00
2008-02-12 00:00:00,174.00
2008-02-13 00:00:00,182.00
2008-02-14 00:00:00,175.00
2008-02-15 00:00:00,165.00
2008-02-16 00:00:00,166.00
2008-02-17 00:00:00,165.00
2008-02-18 00:00:00,167.00
2008-02-19 00:00:00,175.00
2008-02-20 00:00:00,191.00
2008-02-21 00:00:00,192.00
2008-02-22 00:00:00,180.00
2008-02-23 00:00:00,161.00
2008-02-24 00:00:00,149.00
2008-02-25 00:00:00,151.00
2008-02-26 00:00:00,145.00
2008-02-27 00:00:00,154.00
2008-02-28 00:00:00,151.00
2008-02-29 00:00:00,150.00
2008-03-01 00:00:00,152.00
2008-03-02 00:00:00,148.00
2008-03-03 00:00:00,149.00
2008-03-04 00:00:00,151.00
2008-03-05 00:00:00,143.00
2008-03-06 00:00:00,144.00
2008-03-07 00:00:00,145.00
2008-03-08 00:00:00,139.00
2008-03-09 00:00:00,138.00
2008-03-10 00:00:00,135.00
2008-03-11 00:00:00,132.00
2008-03-12 00:00:00,128.00
2008-03-13 00:00:00,133.00
2008-03-14 00:00:00,134.00
2008-03-15 00:00:00,127.00
2008-03-16 00:00:00,127.00
2008-03-17 00:00:00,131.00
2008-03-18 00:00:00,141.00
2008-03-19 00:00:00,138.00
2008-03-20 00:00:00,126.00
2008-03-21 00:00:00,143.00
2008-03-22 00:00:00,168.00
2008-03-23 00:00:00,201.00
2008-03-24 00:00:00,203.00
2008-03-25 00:00:00,190.00
2008-03-26 00:00:00,181.00
2008-03-27 00:00:00,178.00
2008-03-28 00:00:00,162.00
2008-03-29 00:00:00,146.00
2008-03-30 00:00:00,136.00
2008-03-31 00:00:00,127.00
2008-04-01 00:00:00,123.00
2008-04-02 00:00:00,124.00
2008-04-03 00:00:00,123.00
2008-04-04 00:00:00,113.00
2008-04-05 00:00:00,110.00
2008-04-06 00:00:00,106.00
2008-04-07 00:00:00,104.00
2008-04-08 00:00:00,98.00
2008-04-09 00:00:00,98.20
2008-04-10 00:00:00,94.00
2008-04-11 00:00:00,97.10
2008-04-12 00:00:00,93.20
2008-04-13 00:00:00,92.30
2008-04-14 00:00:00,96.70
2008-04-15 00:00:00,89.10
2008-04-16 00:00:00,87.20
2008-04-17 00:00:00,88.90
2008-04-18 00:00:00,89.80
2008-04-19 00:00:00,101.00
2008-04-20 00:00:00,89.60
2008-04-21 00:00:00,90.40
2008-04-22 00:00:00,86.20
2008-04-23 00:00:00,79.90
2008-04-24 00:00:00,75.70
2008-04-25 00:00:00,73.00
2008-04-26 00:00:00,73.00
2008-04-27 00:00:00,73.10
2008-04-28 00:00:00,73.00
2008-04-29 00:00:00,73.00
2008-04-30 00:00:00,73.00
2008-05-01 00:00:00,73.00
2008-05-02 00:00:00,73.00
2008-05-03 00:00:00,75.30
2008-05-04 00:00:00,93.80
2008-05-05 00:00:00,90.10
2008-05-06 00:00:00,215.00
2008-05-07 00:00:00,197.00
2008-05-08 00:00:00,93.30
2008-05-09 00:00:00,76.90
2008-05-10 00:00:00,72.40
2008-05-11 00:00:00,68.90
2008-05-12 00:00:00,70.20
2008-05-13 00:00:00,68.80
2008-05-14 00:00:00,61.60
2008-05-15 00:00:00,59.80
2008-05-16 00:00:00,125.00
2008-05-17 00:00:00,137.00
2008-05-18 00:00:00,77.80
2008-05-19 00:00:00,162.00
2008-05-20 00:00:00,254.00
2008-05-21 00:00:00,276.00
2008-05-22 00:00:00,208.00
2008-05-23 00:00:00,158.00
2008-05-24 00:00:00,125.00
2008-05-25 00:00:00,99.00
2008-05-26 00:00:00,89.40
2008-05-27 00:00:00,68.50
2008-05-28 00:00:00,59.40
2008-05-29 00:00:00,59.60
2008-05-30 00:00:00,66.90
2008-05-31 00:00:00,67.90
2008-06-01 00:00:00,58.60
2008-06-02 00:00:00,53.30
2008-06-03 00:00:00,50.40
2008-06-04 00:00:00,46.30
2008-06-05 00:00:00,41.00
2008-06-06 00:00:00,36.50
2008-06-07 00:00:00,35.30
2008-06-08 00:00:00,32.60
2008-06-09 00:00:00,127.00
2008-06-10 00:00:00,609.00
2008-06-11 00:00:00,199.00
2008-06-12 00:00:00,426.00
2008-06-13 00:00:00,321.00
2008-06-14 00:00:00,202.00
2008-06-15 00:00:00,142.00
2008-06-16 00:00:00,106.00
2008-06-17 00:00:00,83.60
2008-06-18 00:00:00,69.50
2008-06-19 00:00:00,63.90
2008-06-20 00:00:00,76.50
2008-06-21 00:00:00,54.00
2008-06-22 00:00:00,49.00
2008-06-23 00:00:00,48.60
2008-06-24 00:00:00,47.00
2008-06-25 00:00:00,47.20
2008-06-26 00:00:00,51.00
2008-06-27 00:00:00,49.20
2008-06-28 00:00:00,46.40
2008-06-29 00:00:00,99.60
2008-06-30 00:00:00,692.00
2008-07-01 00:00:00,778.00
2008-07-02 00:00:00,1440.00
2008-07-03 00:00:00,988.00
2008-07-04 00:00:00,983.00
2008-07-05 00:00:00,611.00
2008-07-06 00:00:00,661.00
2008-07-07 00:00:00,414.00
2008-07-08 00:00:00,257.00
2008-07-09 00:00:00,207.00
2008-07-10 00:00:00,178.00
2008-07-11 00:00:00,131.00
2008-07-12 00:00:00,98.00
2008-07-13 00:00:00,104.00
2008-07-14 00:00:00,156.00
2008-07-15 00:00:00,106.00
2008-07-16 00:00:00,141.00
2008-07-17 00:00:00,313.00
2008-07-18 00:00:00,365.00
2008-07-19 00:00:00,380.00
2008-07-20 00:00:00,490.00
2008-07-21 00:00:00,390.00
2008-07-22 00:00:00,1100.00
2008-07-23 00:00:00,617.00
2008-07-24 00:00:00,485.00
2008-07-25 00:00:00,515.00
2008-07-26 00:00:00,979.00
2008-07-27 00:00:00,3550.00
2008-07-28 00:00:00,2670.00
2008-07-29 00:00:00,940.00
2008-07-30 00:00:00,738.00
2008-07-31 00:00:00,792.00
2008-08-01 00:00:00,425.00
2008-08-02 00:00:00,384.00
2008-08-03 00:00:00,355.00
2008-08-04 00:00:00,412.00
2008-08-05 00:00:00,374.00
2008-08-06 00:00:00,334.00
2008-08-07 00:00:00,298.00
2008-08-08 00:00:00,276.00
2008-08-09 00:00:00,245.00
2008-08-10 00:00:00,217.00
2008-08-11 00:00:00,251.00
2008-08-12 00:00:00,271.00
2008-08-13 00:00:00,1380.00
2008-08-14 00:00:00,824.00
2008-08-15 00:00:00,505.00
2008-08-16 00:00:00,424.00
2008-08-17 00:00:00,398.00
2008-08-18 00:00:00,334.00
2008-08-19 00:00:00,308.00
2008-08-20 00:00:00,716.00
2008-08-21 00:00:00,1270.00
2008-08-22 00:00:00,772.00
2008-08-23 00:00:00,785.00
