#Bulk Export - Points every 1 day(s),,
,,08375300-USGS
,,"Rio Grande at Rio Grande Village, Big Bend National Park, Texas"
,,Discharge.USGS-NWIS
Start of Interval (UTC-06:00),End of Interval (UTC-06:00),Average (ft^3/s)
2020-01-01 00:00:00,2020-01-02 00:00:00,627.53
2020-01-02 00:00:00,2020-01-03 00:00:00,622.71
2020-01-03 00:00:00,2020-01-04 00:00:00,612.31
2020-01-04 00:00:00,2020-01-05 00:00:00,640.55
2020-01-05 00:00:00,2020-01-06 00:00:00,643.30
2020-01-06 00:00:00,2020-01-07 00:00:00,646.81
2020-01-07 00:00:00,2020-01-08 00:00:00,650.12
2020-01-08 00:00:00,2020-01-09 00:00:00,646.97
2020-01-09 00:00:00,2020-01-10 00:00:00,657.69
2020-01-10 00:00:00,2020-01-11 00:00:00,642.17
2020-01-11 00:00:00,2020-01-12 00:00:00,630.99
2020-01-12 00:00:00,2020-01-13 00:00:00,623.49
2020-01-13 00:00:00,2020-01-14 00:00:00,580.48
2020-01-14 00:00:00,2020-01-15 00:00:00,447.70
2020-01-15 00:00:00,2020-01-16 00:00:00,369.16
2020-01-16 00:00:00,2020-01-17 00:00:00,333.66
2020-01-17 00:00:00,2020-01-18 00:00:00,345.67
2020-01-18 00:00:00,2020-01-19 00:00:00,310.40
2020-01-19 00:00:00,2020-01-20 00:00:00,290.70
2020-01-20 00:00:00,2020-01-21 00:00:00,273.13
2020-01-21 00:00:00,2020-01-22 00:00:00,256.99
2020-01-22 00:00:00,2020-01-23 00:00:00,259.11
2020-01-23 00:00:00,2020-01-24 00:00:00,264.92
2020-01-24 00:00:00,2020-01-25 00:00:00,256.79
2020-01-25 00:00:00,2020-01-26 00:00:00,244.19
2020-01-26 00:00:00,2020-01-27 00:00:00,239.03
2020-01-27 00:00:00,2020-01-28 00:00:00,228.99
2020-01-28 00:00:00,2020-01-29 00:00:00,218.82
2020-01-29 00:00:00,2020-01-30 00:00:00,212.62
2020-01-30 00:00:00,2020-01-31 00:00:00,201.96
2020-01-31 00:00:00,2020-02-01 00:00:00,198.76
2020-02-01 00:00:00,2020-02-02 00:00:00,200.59
2020-02-02 00:00:00,2020-02-03 00:00:00,196.22
2020-02-03 00:00:00,2020-02-04 00:00:00,200.81
2020-02-04 00:00:00,2020-02-05 00:00:00,200.04
2020-02-05 00:00:00,2020-02-06 00:00:00,196.89
2020-02-06 00:00:00,2020-02-07 00:00:00,188.67
2020-02-07 00:00:00,2020-02-08 00:00:00,187.19
2020-02-08 00:00:00,2020-02-09 00:00:00,179.44
2020-02-09 00:00:00,2020-02-10 00:00:00,180.76
2020-02-10 00:00:00,2020-02-11 00:00:00,184.92
2020-02-11 00:00:00,2020-02-12 00:00:00,181.85
2020-02-12 00:00:00,2020-02-13 00:00:00,176.12
2020-02-13 00:00:00,2020-02-14 00:00:00,177.50
2020-02-14 00:00:00,2020-02-15 00:00:00,178.89
2020-02-15 00:00:00,2020-02-16 00:00:00,180.66
2020-02-16 00:00:00,2020-02-17 00:00:00,181.34
2020-02-17 00:00:00,2020-02-18 00:00:00,179.09
2020-02-18 00:00:00,2020-02-19 00:00:00,178.33
2020-02-19 00:00:00,2020-02-20 00:00:00,178.22
2020-02-20 00:00:00,2020-02-21 00:00:00,180.43
2020-02-21 00:00:00,2020-02-22 00:00:00,185.31
2020-02-22 00:00:00,2020-02-23 00:00:00,183.36
2020-02-23 00:00:00,2020-02-24 00:00:00,179.70
2020-02-24 00:00:00,2020-02-25 00:00:00,181.38
2020-02-25 00:00:00,2020-02-26 00:00:00,173.74
2020-02-26 00:00:00,2020-02-27 00:00:00,168.58
2020-02-27 00:00:00,2020-02-28 00:00:00,160.14
2020-02-28 00:00:00,2020-02-29 00:00:00,154.21
2020-02-29 00:00:00,2020-03-01 00:00:00,154.27
2020-03-01 00:00:00,2020-03-02 00:00:00,153.19
2020-03-02 00:00:00,2020-03-03 00:00:00,150.92
2020-03-03 00:00:00,2020-03-04 00:00:00,149.55
2020-03-04 00:00:00,2020-03-05 00:00:00,152.29
2020-03-05 00:00:00,2020-03-06 00:00:00,151.09
2020-03-06 00:00:00,2020-03-07 00:00:00,136.34
2020-03-07 00:00:00,2020-03-08 00:00:00,138.56
2020-03-08 00:00:00,2020-03-09 00:00:00,133.16
2020-03-09 00:00:00,2020-03-10 00:00:00,134.56
2020-03-10 00:00:00,2020-03-11 00:00:00,148.48
2020-03-11 00:00:00,2020-03-12 00:00:00,166.91
2020-03-12 00:00:00,2020-03-13 00:00:00,165.20
2020-03-13 00:00:00,2020-03-14 00:00:00,158.23
2020-03-14 00:00:00,2020-03-15 00:00:00,147.20
2020-03-15 00:00:00,2020-03-16 00:00:00,456.18
2020-03-16 00:00:00,2020-03-17 00:00:00,691.41
2020-03-17 00:00:00,2020-03-18 00:00:00,427.59
2020-03-18 00:00:00,2020-03-19 00:00:00,191.67
2020-03-19 00:00:00,2020-03-20 00:00:00,152.62
2020-03-20 00:00:00,2020-03-21 00:00:00,141.32
2020-03-21 00:00:00,2020-03-22 00:00:00,138.96
2020-03-22 00:00:00,2020-03-23 00:00:00,134.38
2020-03-23 00:00:00,2020-03-24 00:00:00,135.28
2020-03-24 00:00:00,2020-03-25 00:00:00,134.82
2020-03-25 00:00:00,2020-03-26 00:00:00,136.76
2020-03-26 00:00:00,2020-03-27 00:00:00,134.72
2020-03-27 00:00:00,2020-03-28 00:00:00,127.46
2020-03-28 00:00:00,2020-03-29 00:00:00,122.93
2020-03-29 00:00:00,2020-03-30 00:00:00,126.35
2020-03-30 00:00:00,2020-03-31 00:00:00,126.97
2020-03-31 00:00:00,2020-04-01 00:00:00,124.43
2020-04-01 00:00:00,2020-04-02 00:00:00,122.92
2020-04-02 00:00:00,2020-04-03 00:00:00,124.46
2020-04-03 00:00:00,2020-04-04 00:00:00,117.55
2020-04-04 00:00:00,2020-04-05 00:00:00,117.05
2020-04-05 00:00:00,2020-04-06 00:00:00,114.96
2020-04-06 00:00:00,2020-04-07 00:00:00,117.59
2020-04-07 00:00:00,2020-04-08 00:00:00,116.86
2020-04-08 00:00:00,2020-04-09 00:00:00,112.17
2020-04-09 00:00:00,2020-04-10 00:00:00,107.90
2020-04-10 00:00:00,2020-04-11 00:00:00,109.33
2020-04-11 00:00:00,2020-04-12 00:00:00,108.39
2020-04-12 00:00:00,2020-04-13 00:00:00,103.35
2020-04-13 00:00:00,2020-04-14 00:00:00,102.48
2020-04-14 00:00:00,2020-04-15 00:00:00,99.21
2020-04-15 00:00:00,2020-04-16 00:00:00,103.35
2020-04-16 00:00:00,2020-04-17 00:00:00,104.34
2020-04-17 00:00:00,2020-04-18 00:00:00,100.78
2020-04-18 00:00:00,2020-04-19 00:00:00,102.35
2020-04-19 00:00:00,2020-04-20 00:00:00,103.95
